,origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
3967,778,Brixton                       ,550,Cockfosters                   ,3,0
3968,778,Brixton                       ,551,Colindale                     ,14,0
3969,778,Brixton                       ,552,Colliers Wood                 ,0,2
3970,778,Brixton                       ,553,Covent Garden                 ,116,43
3971,778,Brixton                       ,556,Dagenham Heathway             ,0,7
3972,778,Brixton                       ,557,Debden                        ,0,10
3973,778,Brixton                       ,558,Dollis Hill                   ,1,0
3974,778,Brixton                       ,560,Ealing Broadway               ,19,0
3975,778,Brixton                       ,561,Ealing Common                 ,3,0
3976,778,Brixton                       ,562,Earl's Court                  ,123,24
3977,778,Brixton                       ,563,East Acton                    ,74,0
3978,778,Brixton                       ,565,East Finchley                 ,6,13
3979,778,Brixton                       ,566,East Ham                      ,20,84
3980,778,Brixton                       ,564,Eastcote                      ,0,3
3981,778,Brixton                       ,568,Edgware                       ,0,13
3982,778,Brixton                       ,774,Edgware Road (Bak)            ,178,0
3983,778,Brixton                       ,569,Edgware Road (Cir)            ,3,0
3984,778,Brixton                       ,570,Elephant & Castle             ,68,52
3985,778,Brixton                       ,542,Embankment                    ,183,32
3986,778,Brixton                       ,572,Epping                        ,0,4
3987,778,Brixton                       ,574,Euston                        ,488,122
3988,778,Brixton                       ,576,Fairlop                       ,0,8
3989,778,Brixton                       ,577,Farringdon                    ,152,2
3990,778,Brixton                       ,578,Finchley Central              ,1,0
3991,778,Brixton                       ,579,Finchley Road                 ,35,0
3992,778,Brixton                       ,580,Finsbury Park                 ,133,194
3993,778,Brixton                       ,581,Fulham Broadway               ,102,10
3994,778,Brixton                       ,582,Gants Hill                    ,32,0
3995,778,Brixton                       ,583,Gloucester Road               ,125,25
3996,778,Brixton                       ,584,Golders Green                 ,70,4
3997,778,Brixton                       ,586,Goodge Street                 ,50,14
3998,778,Brixton                       ,590,Green Park                    ,1216,157
3999,778,Brixton                       ,589,Greenford                     ,11,0
4000,778,Brixton                       ,591,Gunnersbury                   ,4,0
4001,778,Brixton                       ,592,Hainault                      ,0,33
4002,778,Brixton                       ,593,Hammersmith (Dis)             ,337,47
4003,778,Brixton                       ,594,Hampstead                     ,1,3
4004,778,Brixton                       ,597,Harrow & Wealdstone           ,15,14
4005,778,Brixton                       ,598,Harrow-on-the-Hill            ,10,11
4006,778,Brixton                       ,781,Heathrow Terminal 4           ,0,45
4007,778,Brixton                       ,783,Heathrow Terminal 5           ,45,0
4008,778,Brixton                       ,780,Heathrow Terminals 123        ,5,0
4009,778,Brixton                       ,601,Hendon Central                ,9,0
4010,778,Brixton                       ,602,High Barnet                   ,16,0
4011,778,Brixton                       ,605,High Street Kensington        ,239,26
4012,778,Brixton                       ,603,Highbury & Islington          ,215,183
4013,778,Brixton                       ,604,Highgate                      ,42,50
4014,778,Brixton                       ,607,Holborn                       ,381,38
4015,778,Brixton                       ,608,Holland Park                  ,54,0
4016,778,Brixton                       ,609,Holloway Road                 ,25,26
4017,778,Brixton                       ,611,Hounslow Central              ,7,4
4018,778,Brixton                       ,613,Hounslow West                 ,4,0
4019,778,Brixton                       ,614,Hyde Park Corner              ,14,0
4021,778,Brixton                       ,616,Kennington                    ,14,12
4022,778,Brixton                       ,617,Kensal Green                  ,74,0
4023,778,Brixton                       ,619,Kentish Town                  ,253,31
4025,778,Brixton                       ,622,Kilburn                       ,0,23
4026,778,Brixton                       ,623,Kilburn Park                  ,15,0
4027,778,Brixton                       ,625,King's Cross St. Pancras      ,1122,497
4028,778,Brixton                       ,626,Knightsbridge                 ,160,0
4029,778,Brixton                       ,627,Ladbroke Grove                ,32,0
4030,778,Brixton                       ,629,Lancaster Gate                ,12,15
4032,778,Brixton                       ,631,Leicester Square              ,164,90
4033,778,Brixton                       ,632,Leyton                        ,0,50
4035,778,Brixton                       ,634,Liverpool Street              ,256,90
4036,778,Brixton                       ,635,London Bridge                 ,385,139
4037,778,Brixton                       ,637,Maida Vale                    ,46,0
4038,778,Brixton                       ,638,Manor House                   ,19,0
4039,778,Brixton                       ,639,Mansion House                 ,92,0
4040,778,Brixton                       ,640,Marble Arch                   ,108,28
4041,778,Brixton                       ,641,Marylebone                    ,149,0
4042,778,Brixton                       ,642,Mile End                      ,0,13
4043,778,Brixton                       ,645,Moorgate                      ,264,6
4044,778,Brixton                       ,647,Morden                        ,17,23
4045,778,Brixton                       ,648,Mornington Crescent           ,99,14
4046,778,Brixton                       ,649,Neasden                       ,29,21
4047,778,Brixton                       ,653,North Acton                   ,23,23
4048,778,Brixton                       ,654,North Ealing                  ,0,13
4049,778,Brixton                       ,789,North Greenwich               ,0,57
4050,778,Brixton                       ,656,North Harrow                  ,11,0
4051,778,Brixton                       ,659,North Wembley                 ,11,0
4052,778,Brixton                       ,655,Northfields                   ,2,0
4054,778,Brixton                       ,660,Northwick Park                ,20,0
4055,778,Brixton                       ,661,Northwood                     ,0,15
4056,778,Brixton                       ,662,Northwood Hills               ,0,3
